SampleID	libType	extID	libID	sampleName	ID	sampleNumber	sampleType	samplePool	samplingTime	sampleDiet	samplingTank	New_Diet
MQ211210-116	abV4-C	EXT-CP925-112	LIB-CP925-112-A-1	CL1C	CL1C		ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl
MQ211210-168	abV4-C	EXT-CP925-153	LIB-CP925-153-A-1	T3-mn3-tk3-HGm03	T3_mn3_tk3_03	3	sample	high	T3	MN3	tk3	MN3
MQ211210-88	abV4-C	EXT-CP925-84	LIB-CP925-84-A-1	T2-mn3-tk2-HGm07	T2_mn3_tk2_07	7	sample	low	T2	MN3	tk2	MN3
MQ211210-170	abV4-C	EXT-CP925-155	LIB-CP925-155-A-1	T3-ctr-tk1-HGm05	T3_ctr_tk1_05	5	sample	high	T3	CTR	tk1	CTR
MQ211210-84	abV4-C	EXT-CP925-80	LIB-CP925-80-A-1	T3-mn3-tk3-HGm05	T3_mn3_tk3_05	5	sample	low	T3	MN3	tk3	MN3
MQ211210-130	abV4-C	EXT-CP925-124	LIB-CP925-124-A-1	CE2C	CE2C		ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl
MQ211210-34	abV4-C	EXT-CP925-32	LIB-CP925-32-A-1	T3-mc1-tk1-HGm07	T3_mc1_tk1_07	7	sample	low	T3	MC1	tk1	MC1
MQ211210-100	abV4-C	EXT-CP925-96	LIB-CP925-96-A-1	T2-mc2-tk1-HGm03	T2_mc2_tk1_03	3	sample	low	T2	MC2	tk1	MC2
MQ211210-153	abV4-C	EXT-CP925-147	LIB-CP925-147-A-1	T2-mc1-tk1-HGm03	T2_mc1_tk1_03	3	sample	high	T2	MC1	tk1	MC1
MQ211210-92	abV4-C	EXT-CP925-88	LIB-CP925-88-A-1	CP2B	CP2B		ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl
MQ211210-15	abV4-C	EXT-CP925-15	LIB-CP925-15-A-1	T3-mn3-tk3-HGm01	T3_mn3_tk3_01	1	sample	high	T3	MN3	tk3	MN3
MQ211210-141	abV4-C	EXT-CP925-135	LIB-CP925-135-A-1	T3-mc1-tk1-HGm01	T3_mc1_tk1_01	1	sample	high	T3	MC1	tk1	MC1
