"","01T6","02T6","06T6","08T6","15T6","16T6","21T6","25T6","28T6","29T6","35T6","43T6","48T6","51T6","55T6","59T6","60T6","61T6","63T6","67T6","75T6","76T6"
"dbA|AABICPOP_00565",15.3044526853216,15.9328120163735,15.7542045174056,16.5327215932867,14.911999156927,15.3336760803888,15.1501398933407,15.8484396899495,15.2679485011573,16.1045162709489,16.3594834222595,15.1365226496073,15.6567696128116,15.537505285809,16.0315482957618,15.8656412062701,15.2066789152709,15.6317270990118,17.3076946346003,15.7356384227246,16.2944766173119,15.5632668375417
"dbA|AABICPOP_00573",13.9569836140201,13.9937569864736,14.1090550586971,13.8472873091183,14.5153727919704,13.9337316815328,15.1260168364083,14.0073663866902,14.8838786279064,13.4120944698562,13.8796302135973,15.0769223982496,14.1012123327683,14.1375877387006,13.8336315120725,14.1969048881666,14.9295001269944,14.4311552384747,13.7814438081633,13.9920044510103,13.7645215323827,13.9901619155572
"dbA|AABICPOP_00669",17.7821437040861,15.4456924985633,14.508522955991,14.6720014569344,16.8673872750211,18.4130092501992,17.3761145580974,15.4179049627643,15.645143450904,16.9928650741677,16.1850451347691,17.1600299455897,15.2317183598295,16.2989133674332,14.1256729655416,15.8128641412347,14.5835835366467,17.1111630700421,16.2571126230186,15.3741865594688,15.6509814238227,17.5789560822394
"dbA|AABICPOP_00798",16.9587030741478,17.8313683691616,18.2469378400956,17.8623834502842,19.5566529373023,17.7168170476931,14.8570881184158,17.954829594354,16.278483148651,18.4037143413489,17.776507861432,14.9955607857909,17.2380970408452,17.4326827899793,18.5269481680067,19.269739878904,16.500696956603,19.5166915346075,17.9334188106767,17.2260123965379,17.3459550796464,17.148798184023
"dbA|AABICPOP_00841",15.5341507996532,14.7750894614665,15.4554228977358,15.1842962779963,14.4198009247277,15.8272970937949,16.125270892119,14.15814030305,16.1357616705152,14.7775159647419,14.8865098661722,15.8874373863746,14.6828124785143,15.5883623564038,14.9895820307778,15.1862711019696,15.7223819648321,13.853817966312,14.8904027907106,14.7855638961716,14.4559647539364,15.5794979769212
"dbA|AABICPOP_00865",14.7295417533431,14.5667840158765,14.6888646810513,14.0891074300128,15.4771104264882,14.6055782216414,14.7154211364652,14.5678826139893,14.6018481166591,14.5717412690069,14.5535897473986,14.8332407473687,14.5693807435092,14.5621582034789,14.5696870523954,14.8917256203448,14.5759964095331,15.2193771460792,14.7040793206646,13.7835301553524,14.7117916692303,14.5052958094696
"dbA|AABICPOP_00881",14.9514047147687,14.5826784660677,14.66971165305,15.1294971603001,14.9224453641744,15.0114261272631,14.7568970036917,14.6558259461413,14.707300562479,14.8963520173178,14.93091520376,14.879692882974,14.6557211868035,15.0597333583781,14.8195185289145,14.7804965183392,14.7614509665851,15.09005874901,15.0032985518473,14.6660539872519,14.7606819496798,14.8078190115465
"dbA|AABICPOP_00905",15.2720059258059,15.1628966296125,15.4937210181113,15.4883962041565,14.8087508323107,14.8759282731555,14.677486195529,15.1802744208521,14.5585098051887,15.1967589060029,15.780935397882,14.8892948372411,14.6674906813909,15.3164799335624,15.2938239108184,15.4115688734648,14.5534904336731,15.4188028813086,15.4187614508671,15.1303253290348,14.5042937467961,14.7359458595219
"dbA|AABICPOP_00947",17.047125348489,16.5966272621642,16.9189375692133,16.8309350953348,16.8475457542178,17.205280962602,15.2332474426039,16.9548260674569,14.961912620834,16.9989273628903,17.0836554809561,16.6268803793481,14.136137837744,16.3219261920713,17.5643022687822,16.5359260054456,16.5741277813457,17.4023802690937,16.8612651241825,15.7851011857336,16.3599112321195,16.8392132306824
"dbA|AABICPOP_00953",15.348924673695,12.7411929531825,16.0335003142011,14.7163956803569,15.9884194161842,15.6583003566426,15.2962576843618,15.3833895988813,15.264077949985,15.7985851196988,14.7348917317118,15.1073334010069,14.9389269353798,15.3440801878357,16.5121413185848,16.5712302688278,14.7965275258642,17.3071456889803,15.5125140206745,14.6420078317927,14.0687533878802,14.1125222439146
"dbA|AABICPOP_00976",14.4089398226584,15.095617701231,15.0320149377709,14.6476026016501,14.9286037272177,14.4561673595328,14.8241569556409,14.5841649153707,14.8997408702368,14.4977421577273,14.5074358674843,14.7420661625844,14.867146310878,14.6209829382058,14.937579226053,14.8617700350613,14.6779484189169,15.5293013696351,14.7136749983599,14.5129592020161,14.3245243635155,14.3401691405337
"dbA|AABICPOP_01007",13.9835629162619,13.4081464905432,13.9240341257815,13.9366405218523,14.2708808273511,13.890350752722,14.735033406784,13.0804652152711,14.3592579209857,13.2658880395992,13.5990815454914,14.7588233436926,13.9881389854707,13.7294966158477,13.9172244830996,14.073330514192,14.5089136598743,15.1913458681292,13.5067059027456,13.7723874845418,13.5182491245513,13.6120707105364
"dbA|AABICPOP_01095",14.2371589751379,14.1557940755256,14.1667213382575,14.4520408854189,13.5847982998655,14.2553686300818,14.6455709609705,14.1689128862126,14.5730494851327,13.238709786335,14.4554543291514,15.0054125332691,14.0434999265624,14.2621332717012,14.4534305587817,14.6272535772839,14.5383703396677,13.9220637357154,14.2359200597533,14.1883453125003,14.0205862400909,14.1446655102998
